S1_S0202,S2_S0202,S3_S0202,S4_S0202,S5_S0202,S6_S0202,S7_S0202,S8_S0202
0.345,0.628,0.912,0.805,0.685,0.089,0.309,0.409
0.345,0.628,0.912,0.805,0.685,0.089,0.309,0.409
0.345,0.628,0.912,0.805,0.685,0.089,0.309,0.409
0.345,0.628,0.912,0.805,0.685,0.089,0.309,0.409
0.345,0.628,0.912,0.805,0.685,0.089,0.309,0.409
0.345,0.628,0.912,0.805,0.685,0.089,0.309,0.409
0.345,0.628,0.912,0.805,0.685,0.089,0.309,0.409
0.344,0.628,0.912,0.805,0.685,0.089,0.309,0.409
0.345,0.628,0.912,0.805,0.685,0.089,0.309,0.409
0.345,0.628,0.912,0.805,0.685,0.089,0.309,0.409
0.345,0.628,0.912,0.805,0.685,0.089,0.309,0.409
0.345,0.628,0.912,0.805,0.685,0.089,0.309,0.409
0.345,0.628,0.912,0.805,0.685,0.089,0.309,0.409
0.344,0.628,0.912,0.805,0.685,0.089,0.309,0.409
0.345,0.628,0.912,0.805,0.685,0.089,0.309,0.409
0.345,0.628,0.912,0.805,0.685,0.089,0.309,0.409
0.344,0.628,0.912,0.805,0.685,0.089,0.309,0.409
0.344,0.628,0.912,0.805,0.685,0.089,0.309,0.409
0.345,0.628,0.912,0.805,0.685,0.089,0.309,0.409
0.345,0.628,0.912,0.805,0.685,0.089,0.309,0.409
0.345,0.628,0.912,0.805,0.685,0.089,0.309,0.409
0.345,0.628,0.912,0.805,0.685,0.089,0.309,0.409
0.344,0.628,0.912,0.805,0.685,0.089,0.309,0.409
0.345,0.628,0.912,0.805,0.685,0.089,0.309,0.409
0.344,0.628,0.912,0.805,0.685,0.089,0.309,0.409
0.345,0.627,0.912,0.805,0.685,0.089,0.309,0.409
0.345,0.628,0.912,0.805,0.685,0.089,0.309,0.409
0.344,0.628,0.912,0.805,0.685,0.089,0.309,0.409
0.344,0.627,0.911,0.805,0.685,0.089,0.309,0.409
0.345,0.627,0.912,0.805,0.685,0.089,0.309,0.409
0.344,0.627,0.912,0.805,0.685,0.089,0.309,0.409
0.344,0.627,0.911,0.805,0.685,0.089,0.309,0.409
0.344,0.627,0.912,0.805,0.684,0.089,0.309,0.409
0.344,0.627,0.912,0.805,0.685,0.089,0.309,0.409
0.344,0.628,0.912,0.805,0.685,0.089,0.309,0.409
0.344,0.627,0.911,0.805,0.685,0.089,0.309,0.409
0.344,0.627,0.911,0.805,0.685,0.089,0.309,0.409
0.344,0.627,0.911,0.805,0.684,0.089,0.308,0.409
0.344,0.627,0.911,0.805,0.684,0.089,0.309,0.409
0.344,0.627,0.911,0.805,0.684,0.089,0.309,0.409
0.344,0.627,0.911,0.805,0.684,0.089,0.309,0.409
0.344,0.627,0.911,0.805,0.684,0.089,0.309,0.409
0.344,0.627,0.911,0.805,0.684,0.089,0.309,0.409
0.344,0.627,0.911,0.805,0.684,0.089,0.308,0.409
0.344,0.627,0.911,0.805,0.684,0.089,0.308,0.409
0.344,0.627,0.911,0.805,0.684,0.089,0.308,0.409
0.344,0.627,0.911,0.805,0.685,0.089,0.309,0.409
0.344,0.627,0.911,0.805,0.685,0.089,0.309,0.409
0.344,0.627,0.911,0.805,0.685,0.089,0.308,0.409
0.344,0.627,0.911,0.805,0.685,0.089,0.308,0.409
0.344,0.627,0.911,0.805,0.685,0.089,0.309,0.409
0.344,0.626,0.911,0.805,0.685,0.089,0.308,0.409
0.344,0.627,0.911,0.807,0.685,0.089,0.309,0.409
0.344,0.631,0.911,0.81,0.685,0.089,0.309,0.41
0.345,0.639,0.912,0.815,0.686,0.089,0.309,0.41
0.344,0.648,0.912,0.822,0.687,0.089,0.309,0.412
0.345,0.661,0.914,0.829,0.688,0.089,0.309,0.415
0.345,0.677,0.915,0.838,0.69,0.089,0.309,0.42
0.345,0.695,0.916,0.848,0.694,0.09,0.31,0.428
0.345,0.713,0.917,0.858,0.699,0.09,0.31,0.437
0.345,0.732,0.918,0.868,0.707,0.09,0.311,0.448
0.346,0.75,0.919,0.878,0.716,0.09,0.311,0.459
0.346,0.768,0.921,0.89,0.727,0.091,0.312,0.471
0.347,0.788,0.923,0.903,0.739,0.091,0.312,0.484
