S1_A02,S2_A02,S3_A02,S4_A02,S5_A02,S6_A02,S7_A02,S8_A02
0.529,1.846,0.323,1.714,1.613,0.318,0.669,1.752
0.529,1.846,0.323,1.714,1.613,0.318,0.669,1.752
0.529,1.846,0.323,1.714,1.613,0.318,0.669,1.752
0.529,1.846,0.323,1.713,1.613,0.318,0.669,1.752
0.529,1.846,0.323,1.713,1.613,0.318,0.669,1.752
0.529,1.846,0.323,1.713,1.613,0.318,0.669,1.752
0.529,1.846,0.323,1.714,1.613,0.318,0.669,1.752
0.529,1.845,0.323,1.713,1.613,0.318,0.669,1.752
0.529,1.846,0.323,1.713,1.613,0.318,0.669,1.752
0.529,1.846,0.323,1.714,1.613,0.318,0.669,1.752
0.529,1.846,0.324,1.713,1.613,0.318,0.669,1.752
0.529,1.845,0.324,1.713,1.613,0.318,0.669,1.752
0.529,1.846,0.324,1.713,1.613,0.318,0.669,1.752
0.529,1.846,0.324,1.713,1.613,0.318,0.669,1.752
0.529,1.846,0.324,1.713,1.613,0.318,0.669,1.752
0.529,1.846,0.324,1.713,1.613,0.318,0.669,1.752
0.529,1.846,0.324,1.713,1.613,0.318,0.669,1.752
0.529,1.845,0.324,1.713,1.612,0.318,0.669,1.751
0.529,1.845,0.323,1.713,1.613,0.318,0.669,1.751
0.529,1.846,0.324,1.713,1.613,0.318,0.669,1.752
0.529,1.846,0.324,1.713,1.612,0.318,0.669,1.752
0.529,1.846,0.324,1.713,1.613,0.318,0.669,1.752
0.529,1.846,0.324,1.713,1.613,0.318,0.669,1.752
0.529,1.846,0.324,1.713,1.613,0.318,0.669,1.752
0.529,1.846,0.324,1.713,1.612,0.318,0.669,1.752
0.529,1.846,0.323,1.713,1.612,0.318,0.669,1.752
0.529,1.846,0.323,1.713,1.612,0.317,0.669,1.752
0.529,1.845,0.324,1.713,1.612,0.318,0.669,1.752
0.529,1.845,0.324,1.713,1.612,0.318,0.669,1.752
0.529,1.845,0.323,1.713,1.612,0.317,0.669,1.752
0.529,1.845,0.323,1.713,1.613,0.318,0.669,1.752
0.529,1.845,0.324,1.713,1.612,0.318,0.669,1.751
0.529,1.845,0.323,1.713,1.612,0.317,0.669,1.751
0.529,1.846,0.323,1.712,1.612,0.317,0.669,1.751
0.529,1.845,0.324,1.712,1.612,0.317,0.669,1.751
0.529,1.845,0.324,1.713,1.612,0.318,0.669,1.752
0.529,1.846,0.324,1.713,1.612,0.317,0.669,1.752
0.529,1.845,0.324,1.713,1.612,0.317,0.669,1.752
0.529,1.845,0.324,1.713,1.612,0.317,0.669,1.752
0.529,1.845,0.324,1.713,1.612,0.317,0.669,1.752
0.529,1.845,0.323,1.713,1.612,0.317,0.669,1.752
0.529,1.845,0.323,1.712,1.612,0.317,0.669,1.752
0.529,1.845,0.323,1.713,1.612,0.318,0.669,1.751
0.529,1.846,0.324,1.713,1.612,0.318,0.669,1.752
0.53,1.846,0.324,1.713,1.612,0.317,0.669,1.752
0.53,1.846,0.324,1.713,1.612,0.317,0.669,1.752
0.529,1.846,0.323,1.713,1.612,0.318,0.669,1.752
0.53,1.846,0.324,1.713,1.612,0.317,0.669,1.752
0.529,1.846,0.323,1.713,1.612,0.317,0.669,1.752
0.53,1.846,0.324,1.713,1.612,0.317,0.669,1.752
0.53,1.846,0.323,1.713,1.612,0.317,0.669,1.752
0.53,1.846,0.323,1.713,1.612,0.317,0.669,1.752
0.53,1.845,0.323,1.713,1.612,0.317,0.669,1.752
0.53,1.846,0.323,1.713,1.612,0.317,0.67,1.752
0.53,1.845,0.323,1.713,1.612,0.317,0.67,1.752
0.53,1.845,0.323,1.713,1.612,0.317,0.669,1.752
0.53,1.845,0.324,1.713,1.612,0.318,0.669,1.752
0.53,1.845,0.323,1.713,1.612,0.317,0.669,1.752
0.53,1.845,0.323,1.713,1.612,0.317,0.67,1.752
0.53,1.846,0.324,1.713,1.612,0.317,0.67,1.752
